year,doy,hour,mean,std
2014,167,10,-0.30715200000000004,-0.07678800000000001
2014,191,12,-0.06436800000000001,0.017106327250464962
2015,98,2,0.003024,0.000756
2015,169,12,-0.106272,0.013440685696793887
2015,202,12,-0.05918400000000001,-0.014796000000000002
2015,202,13,0.0034560000000000003,0.0008640000000000001
2015,252,12,-0.25876800000000005,0.20405404648768916
2015,283,12,-0.124416,-0.031104
2015,283,13,-0.12095999999999998,-0.030239999999999996
2016,82,11,-0.03528,-0.00882
2016,82,12,-0.007776,-0.001944
2016,134,14,-0.19535657142857143,0.06279593090157927
2016,168,11,-0.096876,0.030699748011995157
2016,201,14,0.109188,0.07438197652657531
2016,252,9,-0.174492,0.01552806491485661
2016,292,13,-0.13665600000000003,-0.03416400000000001
2016,292,14,-0.025344000000000002,-0.0063360000000000005
2016,341,11,-0.06057,0.012498819464253392
2017,109,12,-0.06969600000000001,0.00896045713119592
2017,144,12,-0.074376,0.0145607428381934
2017,144,13,-0.08654399999999998,-0.021635999999999996
2017,172,9,-0.198864,0.07799670639200093
2017,199,8,-0.05119199999999999,0.011098748037504045
2017,262,10,0.09050400000000001,0.06913807263729589
2017,298,11,0.002304000000000002,0.0005760000000000004
2017,298,12,-0.234144,-0.058536
2017,312,10,-0.008784,0.015069859720647703
2018,108,13,-0.044208000000000004,0.030139719441295416
2018,131,13,0.041951999999999996,0.03295125709286368
2018,214,10,-0.1296,0.008858633754705069
2018,262,9,0.12438,0.02540493243447029
2019,113,11,0.011555999999999993,0.2057341321997884
2019,155,13,0.048384,0.012096
2019,197,11,-0.044388,0.001985555841571827
2019,231,15,0.141264,0.15640070628996533
2021,112,14,0.06963840000000002,0.017409600000000004
2021,138,13,0.039816,0.009954
2021,173,13,0.041184,0.010296
2021,201,10,0.256824,0.064206
2021,299,13,0.07776,0.01944
