year,doy,hour,mean,std
2014,191,10,0.0037152,0.0018731073647818485
2014,337,14,0.000648,0.0003054701294725886
2015,99,10,0.000648,0.00030547012947258854
2015,169,8,0.00043200000000000004,0.0
2015,202,12,0.005076,0.001189635238213798
2015,283,10,0.052164,0.01081079460539326
2016,83,10,0.001251,0.0004806370772214728
2016,134,11,0.0016416,0.0007729863129448025
2016,168,7,0.0035640000000000003,0.0015625824778231709
2016,200,12,0.011952,0.008814635103054465
2016,252,12,0.0047376,0.0018194216223844323
2016,292,10,0.009096000000000002,0.0027438833794460014
2016,342,10,0.001242,0.0005680704181701421
2017,109,15,0.0017550000000000005,0.00018444511378727283
2017,145,10,0.000648,0.00017636326148038882
2017,171,10,0.0038952000000000006,0.002195279881928498
2017,200,13,0.011934,0.008345868438934322
2017,262,13,0.004086,0.0023020304081397365
2017,311,11,0.0031320000000000007,0.0014273443873151288
2018,108,9,0.0007740000000000001,0.000549516150809055
2018,131,9,0.00044100000000000004,0.00010340212763768445
2018,159,10,0.00054,0.0001378695035169127
2018,213,11,0.011628000000000001,0.006036989978457807
2018,261,13,0.012095999999999999,0.015925514622768082
2019,114,13,0.00032400000000000007,0.00012470765814495918
2019,155,10,0.0016920000000000001,0.0003600000000000001
2019,199,12,0.007128000000000001,0.0019157953961736107
2019,231,11,0.028836,0.01771858414208088
2021,112,9,0.001332,5.091168824543155e-05
2021,138,10,0.0020520000000000004,0.0006109402589451769
2021,174,9,0.036000000000000004,0.0016291740238538026
2021,201,14,0.0098352,0.00034619948006893285
2021,235,9,0.001188,0.0001527350647362942
2021,265,9,0.0014148000000000001,0.0002901966229989591
2021,299,10,0.002268,0.0013746155826266484
