year,doy,hour,mean,std
2014,167,13,0.11577600000000002,0.028944000000000004
2014,191,9,0.196128,0.01588444673257459
2015,169,8,0.096768,0.021993849322026388
2015,202,12,0.138888,0.016800857120992385
2015,283,9,0.11275200000000002,0.023215729839916727
2016,83,10,0.014364,0.008705898689968771
2016,134,13,0.073656,0.018414
2016,134,14,0.09403200000000003,0.023508000000000008
2016,168,8,0.11426399999999999,0.08766992715863292
2016,200,12,0.314172,0.029172397364632206
2016,252,10,0.252828,0.0581920596645281
2016,292,9,0.096336,0.023826670098861902
2016,342,10,0.033696000000000004,0.017717267509410137
2017,109,14,0.147312,0.01832820776835532
2017,145,9,0.288504,0.08298605184005323
2017,171,10,0.312984,0.12432634269534351
2017,200,12,0.299916,0.06033035057083622
2017,262,14,0.14112,0.000407293505963454
2017,311,10,0.206496,0.10019420246700902
2018,131,9,0.1647,0.003818376618407357
2018,159,9,0.21729599999999996,0.12890839463743234
2018,213,13,0.34430400000000005,0.0562065038229563
2018,261,13,0.15444000000000002,0.022299319451498968
2019,114,10,0.10584000000000002,0.04032205709038169
2019,155,9,0.30348,0.11394035829327555
2019,197,15,0.36773999999999996,0.08537890118758852
2019,231,11,0.168372,0.14586198682316104
2021,112,9,0.11383199999999999,0.028457999999999997
2021,138,9,0.18374400000000002,0.045936000000000005
2021,174,9,0.259524,0.064881
2021,201,12,0.573048,0.143262
2021,235,8,0.43653600000000004,0.14998583357104098
2021,265,8,0.21276,0.05319
2021,299,9,0.0837,0.020925
